full_name,language,stars,size_kb,default_branch,markers,adoption_date,adoption_signal,adoption_detail,total_ai_events,pre_months,post_months,total_commits,avg_commits_per_month,first_commit,last_commit,window_valid
e-gleba/cxx-skeleton,Java,7,9329,main,cursor,2025-11-26T23:19:43+03:00,file_add,file_add:.cursor/rules/,1,31,4,212,14.13,2023-04-11T17:51:03+03:00,2026-03-08T01:47:10+03:00,True
graphql-java/graphql-java,Java,6231,26530,master,copilot,2025-04-01T12:04:00+11:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]opilot,85,117,11,6292,48.78,2015-07-06T06:11:11+02:00,2026-03-08T03:35:00+00:00,True
hmcts/finrem-case-orchestration-service,Java,8,28232,master,copilot,2025-08-11T14:48:03+01:00,file_add,file_add:.github/copilot-instructions.md,1,84,7,2977,32.36,2018-08-12T22:30:42+01:00,2026-03-09T11:31:19+00:00,True
hyperledger/besu,Java,1775,105415,main,copilot,2025-07-01T13:48:53-04:00,commit_pattern,pattern:Co-[Aa]uthored-[Bb]y:.*[Cc]laude,28,81,8,6571,73.01,2018-10-09T15:17:20+00:00,2026-03-09T16:12:03+09:00,True
knime/knime-python,Java,86,14610,master,copilot,2025-11-26T10:33:47+01:00,file_add,file_add:.github/copilot-instructions.md,5,226,4,3345,17.7,2007-01-24T09:23:43+00:00,2026-03-05T14:43:22+01:00,True
lilishop/lilishop,Java,4121,49462,master,cursor,2025-06-20T09:57:16+08:00,file_add,file_add:.cursor/rules/,1,49,4,2328,44.77,2021-05-13T10:41:46+08:00,2025-10-21T23:15:11+09:00,True
mixpanel/mixpanel-android,Java,1045,32328,master,cursor,2025-06-25T14:52:45-07:00,file_add,file_add:.cursor/rules/,9,178,9,2249,16.3,2010-08-04T21:55:22-07:00,2026-03-04T11:32:37-08:00,True
modlix-india/nocode-saas,Java,9,14096,master,cursor,2025-12-22T16:53:08+05:30,file_add,file_add:.cursorrules,2,40,3,5169,117.48,2022-08-09T10:47:37+05:30,2026-03-08T21:37:17+05:30,True
nyetwurk/ecuxplot,Java,65,50080,master,cursor,2025-10-22T11:42:27-07:00,file_add,file_add:.cursor/rules/,2,213,5,996,14.87,2008-01-18T07:27:12+00:00,2026-03-02T18:43:22-08:00,True
open-telemetry/opentelemetry-java-contrib,Java,258,25257,main,copilot,2025-08-26T08:29:56-07:00,file_add,file_add:.github/copilot-instructions.md,11,60,7,2053,31.58,2020-08-17T14:57:15-07:00,2026-03-09T07:39:20+00:00,True
