full_name,treated,stars,size_kb,forks,num_commits,num_contributors,repo_age_months
JetBrains/build-UI-using-Swing-sample-project,0,19,43,30,1,1,21
JetBrains/idea-php-dotenv-plugin,0,185,540,17,200,20,108
Joydevelop/delay-queue,0,19,10,0,2,1,16
JustAHuman-xD/SlimefunEssentials,0,20,2917,16,152,4,40
KaleidoscopeMods/KaleidoscopeCookery,0,57,3165,28,279,16,12
Karifean/FFXDataParser,0,20,1127,8,192,4,38
KnowageLabs/Knowage-Server,0,439,362460,233,24751,51,106
Kr328/SysProxy,0,21,123,3,7,1,15
Lance5057/ExtraDelight,0,19,13930,24,739,8,39
LaushLoco/java-3ov,0,19,2,0,4,1,4
LiLittleCat/intellij-generate-all-getter-and-setter,0,20,3602,9,122,6,47
LianjiaTech/bella-openapi,1,207,5344,43,903,63,12
LineageOS/android_packages_apps_DocumentsUI,0,19,69284,45,20984,461,103
Lordszynencja/Charter,0,46,104080,15,356,10,39
LucaFilipozzi/keycloak-regex-mapper,0,20,144,5,38,1,55
M-T3K/UPM,0,20,152125,7,114,7,102
M66B/FairEmail,0,4222,1114948,679,31459,29,91
MCreator/MCreator,0,1125,140380,194,6962,56,66
MOTTechnologies/atlas,0,19,41899,8,1,1,21
MTVehicles/MinetopiaVehicles,0,104,421237,42,930,16,66
MTrop/DoomStruct,0,20,16922,4,271,2,134
MadamioLoco/java-jdx,0,19,2,0,4,1,4
ManaZeak/ManaZeak,0,20,25849,4,3288,20,102
MarginaliaSearch/encyclopedia.marginalia.nu,0,20,149,1,17,2,34
Mechanical-Advantage/RobotCode2026Public,0,62,19536,8,46,1,2
MessageFlow-Vercom/azure-dev,0,20,244,2,55,5,8
MicroFocus/ALMOctaneJavaRESTSDK,0,19,3550,19,656,40,111
MikhailSterkhov/bridgenet,0,20,26770,2,664,4,15
MindsIgnited/continuum-framework,1,7,76058,1,625,8,56
MingYueChunQiu/Agile,0,19,2697,3,460,4,88
MobilityData/gtfs-validator,0,394,56587,115,1005,37,77
MohistMC/Youer,0,154,30827,38,443,3,29
MoonWorm/jsonapi4j,0,20,1993,2,146,4,13
NightlyNexus/DemoMode,0,19,269,3,83,2,110
Nikhil-2002/Programming_Hactoberfest25,0,20,161,185,161,55,30
NikhilRaj-2003/java-web,0,20,7082,9,35,2,9
NitorCreations/matchers,0,19,39,2,43,3,154
NucleoidMC/bed-wars,0,20,1029,16,250,15,68
OpenAPITools/jackson-databind-nullable,0,140,294,43,118,23,89
OpenFeign/feign,1,9791,10794,1941,2873,330,153
OpenFeign/querydsl,1,582,59512,77,10395,199,29
OpenLMIS/openlmis-stockmanagement,0,20,7886,29,1515,60,111
OpenLiberty/guide-maven-intro,0,20,471,37,385,42,102
PANTHEONtech/lighty,0,143,10854,81,2194,44,94
PRIYADHARSHINI-2930/Program-2,0,20,2,0,2,1,22
PacoVK/tapir,1,235,101169,21,1280,9,40
Pangu-Immortal/BaoDian,0,20,31873,11,61,3,113
PedroRok/CreateHypertubes,0,20,1065,8,312,7,11
PhantomWing/RusticDelight,0,20,965,10,80,9,18
Phiwa/DragonTravel,0,20,44960,32,220,20,149
PhotonVision/photonvision,0,401,289809,288,2209,125,69
PicnicSupermarket/error-prone-support,0,233,11371,51,2399,59,95
PolaricServer/aprsd,0,27,18982,8,1615,13,160
ProgrammerLMS/mini-git,0,20,243,1,12,3,26
ProyectosCoPersonales/Movie-Reservation-System-Solutions,0,20,152,2,13,1,19
RAVANA-Final-Project/RavanaAPMS,0,19,19276,2,56,5,21
Ragavijeyakumar/Number-Game,0,20,1,0,1,1,10
RainAfterDark/GitGud,0,19,971,18,64,17,4
Ramyasree003/EventSchedular,0,20,1,0,1,1,10
Ramyasree003/PortScanner,0,20,1,0,1,1,10
RaphiMC/NetMinecraft,0,20,841,3,255,5,42
ReVanced/revanced-patches,0,5453,110984,698,4506,182,27
RedHatInsights/rhsm-subscriptions,0,75,25896,52,11593,47,84
SEMOSS/Semoss,0,46,1062855,14,18248,89,154
Sam-SSD/Java,0,20,1147,1,48,3,42
SamucaDoJava/quiz,0,20,261,7,73,2,26
SecUSo/privacy-friendly-circuit-training-exercises,0,20,1660,8,100,16,100
Servoy/servoy-client,1,13,205350,6,16518,55,141
ShaheenJawadi/My-Notes,0,20,270,0,2,1,15
SimoneAvogadro/HumanDetection4Tasker,1,26,248733,3,95,2,20
SistrScarlet/LittleMaidReBirth-Architectury,1,63,12325,14,508,4,64
SkriptLang/Skript,0,1277,30293,426,4568,135,120
SmartTools/smartactors-core,0,20,59480,6,3306,31,120
Smarteon/loxone-java,0,20,999,12,547,13,95
SonarSource/sonar-java,0,1196,74103,721,9470,134,162
SonarSource/sonar-php,0,424,25490,108,2936,72,165
SonarSource/sonar-xml,0,33,2702,42,647,69,158
Spazzinq/FlightControl,0,20,64668,11,641,13,89
SpringBootCourses/data-analyser-microservice,0,20,61,1,64,3,30
StevensDeptECE/CPE552-Java,0,20,42554,39,168,5,98
TISUnion/VelocityWhitelist,0,20,128,3,32,3,29
Team-B1ND/dauth-sdk,0,20,93,0,20,1,28
Team-EnderIO/EnderIO,0,391,17798,133,2238,44,51
TencentBlueKing/bk-job,0,854,73605,213,8780,11,57
TerraFirmaGreg-Team/Core-Modern,0,20,4301,40,1558,39,32
Thanwinde/fif-5mmcqupt,0,19,110345,1,23,4,12
TheLMiffy1111/JAOPCA,0,38,272154,35,270,11,107
TheNextLvl-net/worlds,0,37,3781,10,2047,14,62
TicTicBoooom-Mods/MasterfulMachinery,0,20,7155,8,122,10,58
TimefoldAI/timefold-solver,1,1589,271112,181,10287,215,36
Tining123/DemonMarket,0,20,25170,6,112,3,49
Tinkoprof/WurstPlusThree-Ported,0,20,95,3,34,1,15
TommyCpp/Athena,0,19,2994,5,424,3,106
TrueLayer/truelayer-java,1,10,2026,10,249,16,52
U3W-AI/U3W-AI,0,47,147024,45,1762,134,10
USACE/cwms-data-api,0,20,47601,21,2654,26,65
Unidata/awips2,0,210,3906699,82,706,2,142
Vad1mChK/ancient-russes-count,0,20,11,2,4,2,26
Wadan3/AdvanceDrawing,0,20,243,2,10,1,14
WeBankBlockchain/WeBASE-Sign,0,20,2749,27,348,14,83
Women-Coding-Community/wcc-backend,1,19,3210,49,621,31,22
Wong-Innovations/TC4Research,0,20,1225,6,84,6,36
Yacubane/pure-ski-jumping,0,19,9691,1,9,3,73
Zergatul/freecam,0,20,690,5,54,3,47
ZhangHao555/AndroidGroupShadow,0,20,146,1,12,2,81
a-sit/PDF-Over,0,49,1002286,7,1514,6,40
adoptium/jdk17u,0,24,1009422,10,69774,147,55
adoptium/jdk8u,0,47,203474,16,49684,1060,51
adr/e-adr,0,43,1357,9,160,6,119
adsstudio24/java_ai_chatbot,0,20,7,0,4,1,13
aetherwingz/TRIGGER,0,20,225,3,49,5,10
agoncal/agoncal-application-vintagestore,1,6,2625,1,287,2,17
ahomansikka/sukija,0,19,18204,2,212,1,157
airlift/slice,0,516,672,132,386,24,155
akshaybahadur21/Emancipation-of-Leetcode,0,21,4183,2,1707,3,80
akto-api-security/akto,1,1455,351534,275,11287,80,38
alessandropellegrini/z64sim,0,19,4258,4,233,10,135
alex12393/DataAnalyzer-6785,0,20,2,0,2,1,13
alfio-event/alf.io,0,1564,49074,381,3948,57,140
alibaba/druid,0,28222,91639,8610,7768,274,172
alibaba/nacos,0,32708,70700,13261,5710,386,93
alibaba/open-agent-auth,0,31,13531,3,32,5,1
alibaba/spring-ai-alibaba,1,8644,230810,1900,3109,259,18
alien-tools/roseau,0,30,18148,5,988,7,33
aliyun/alibabacloud-gdb-tools,0,19,618,7,28,7,80
ammarlodhi255/file-compression-system,0,20,1533,8,24,2,63
amyjko/citrus-barista,0,20,2137,3,13,2,118
amzn/amazon-codeguru-profiler-for-spark,0,20,2352,12,8,5,52
anboralabs/ks-explorer,0,20,2153,5,290,6,51
andreschaffer/media-streaming-examples,0,20,2539,6,461,5,105
andrus/di-comparison,0,20,80,5,39,3,96
andylke/im-aop-loggers,0,20,245,3,103,1,52
apache/accumulo,0,1137,119865,479,14792,161,173
apache/activemq,0,2419,68746,1484,12289,158,202
apache/artemis,0,1005,114091,945,12065,246,130
apache/atlas,0,2075,73389,900,4065,140,104
apache/celeborn,0,1040,34200,421,2567,129,51
apache/curator,0,3170,11343,1251,2880,124,144
apache/fineract,0,2068,104587,2354,9484,262,123
apache/fluss,0,1813,71885,513,1223,109,17
apache/gravitino,1,2900,82304,751,3568,303,35
apache/hbase,0,5579,511704,3390,20965,269,142
apache/helix,0,493,42516,245,4855,71,146
apache/iotdb,0,6292,344758,1120,13470,290,88
apache/james-project,0,1000,152655,488,17070,105,128
apache/jena,0,1295,473755,681,12793,109,158
apache/lucene,0,3362,530503,1314,38959,319,61
apache/polaris,0,1869,85612,393,2724,124,22
apache/pulsar,0,15158,256408,3711,14004,362,117
apache/struts,1,1349,85800,835,8236,139,146
apache/syncope,0,320,85443,200,9217,46,137
arangodb/java-velocypack,0,19,1444,11,178,16,108
arivan-amin/Clean-Architecture-Microservices,0,19,5197,8,554,2,19
atlassian/data-center-helm-charts,0,176,13983,142,1307,89,64
atolcd/hop-gis-plugins,0,20,6044,12,85,8,56
auth0/auth0-java,0,318,8205,143,1057,52,122
authorjapps/spring-boot-integration-test,0,19,369,21,35,5,92
averbraeck/opentrafficsim,0,56,372562,17,7131,3,43
aws-samples/amazon-s3-object-lambda-decompression,0,20,30,5,5,4,60
aws/aws-sdk-java-v2,0,2553,759348,987,20556,176,105
axonivy-market/portal,1,12,112381,8,12737,84,40
badarshahzad/SudoTimer,0,20,18591,5,35,2,104
bakdata/kafka-error-handling,0,20,590,3,156,10,72
ballerina-platform/module-ballerinax-asb,0,109,2930,22,950,37,64
banq/jivejdon,0,586,59374,160,3052,2,91
baretto-labs/OllamAssist,1,29,3903,14,174,7,14
began-zhao/kafeiMall,0,20,5359,1,131,3,43
binarywang/wx-java-pay-demo,0,20,13,12,12,2,65
bloxbean/cardano-client-lib,1,129,12315,54,1086,34,59
bloxbean/yaci-store,0,44,28983,13,1413,16,40
borkdominik/bigUML,0,53,41372,13,186,11,56
bratkartoffel/security-jwt,0,33,3115,13,1463,4,106
burcubayik/rentACar,0,20,193,0,12,2,45
bwagner/wordhierarchy,0,20,261,5,29,4,169
bytechefhq/bytechef,1,737,113426,134,15624,54,54
camunda-community-hub/camunda-7-migration,0,20,207,8,83,14,116
camunda-community-hub/zeebe-dmn-worker,0,20,290,14,355,16,103
caoccao/Javet,1,942,18363,98,155,10,62
caoccao/swc4j,1,182,7407,5,878,1,24
cciradih/pcip,0,20,18,8,15,2,23
chhil/TR31Keyblock,0,20,107,7,41,5,55
chinashuai/spring-boot-example-all,0,20,245,25,11,2,70
christianrowlands/network-survey-messaging,0,30,2617,6,266,13,80
cinit/QAuxiliary,0,5460,8948,400,2909,59,50
civiform/civiform,0,120,943093,85,7602,92,62
clerk/clerk-sdk-java,0,42,6037,22,195,21,21
cmu-sei/kaiju,0,136,1557,39,235,6,61
codeandcoke/spring-web,0,20,15882,11,27,2,61
codehaus-cargo/cargo,0,103,36675,74,6327,57,131
codename-B/bPermissions,0,26,1462,38,465,13,176
coffee-software-show/llm-rag-with-spring-ai,0,20,248,36,6,1,27
colosobo/drc,0,19,1603,2,9,2,46
confluentinc/kafka-streams-examples,0,161,30490,1142,13917,113,103
corretto/corretto-11,0,684,392803,113,58418,140,85
crdroidandroid/android_frameworks_base,0,112,7895107,370,1105589,,136
crdroidandroid/android_packages_apps_Settings,0,24,1900450,153,152396,154,136
cryostatio/cryostat,0,42,10510,14,1391,16,39
css4j/css4j,0,20,12228,0,1372,4,80
ctrl-space-labs/gendox-core,1,10,162472,1,1286,7,32
cygnusx-1-org/Slide,1,180,138047,6,4841,127,15
cypressincloud/Tally,0,94,803,3,94,1,2
dCache/dcache,0,314,421906,143,13538,67,156
dadoonet/fscrawler,1,1434,23892,304,3930,73,165
daniellcferreira/desafios-java,0,20,128,2,40,2,15
danvega/spring-common-mistakes,0,20,83,3,10,1,25
dasi0227/Agent,0,20,20264,3,146,1,3
dataease/dataease,0,23544,320163,4043,20470,90,61
datageartech/datagear,0,1663,95496,370,4574,5,73
datavane/tis,1,1285,33957,278,1343,6,86
dbothwell/remote-linux-monitor,0,20,1267,7,40,6,132
debezium/debezium,0,12491,77888,2881,13338,362,122
deltazefiro/Amarok-Hider,1,2879,4881,96,669,30,50
devonfw/IDEasy,1,34,9340,55,1108,48,30
dgradecak/alfresco-mvc,0,20,630,10,257,7,156
dhis2/dhis2-core,0,331,389573,386,14579,83,115
dic1911/Momogram,0,469,1255916,22,3729,72,28
dimagi/commcare-android,0,45,351781,45,19217,65,141
disaster1-tesk/J2J,0,20,2058,0,4,2,7
domaframework/doma,1,494,24416,76,3832,48,144
dougdonohoe/ddpoker,0,204,23267,24,267,2,19
dream-horizon-org/testlab,0,19,878,0,6,4,5
dromara/skyeye,1,1156,222963,285,3772,12,82
dschadow/ApplicationIntrusionDetection,0,19,1166,9,915,6,128
dzh/jframe,0,20,32887,15,156,3,146
e-gleba/cxx-skeleton,1,7,9329,0,212,4,35
eXist-db/exist,0,460,687188,188,25862,81,152
eccentricdevotion/TARDIS,0,92,375187,29,8657,7,164
eclipse-basyx/basyx-applications,0,20,16716,30,232,19,53
eclipse-ditto/ditto,0,856,150430,266,12470,60,107
eclipse-elk/elk,0,337,23431,90,1951,23,125
eclipse-leshan/leshan,0,682,14001,413,2315,42,133
eclipse-lyo/lyo,1,20,8146,18,1920,53,93
eclipse-tractusx/tractusx-edc,0,82,51440,90,1919,58,39
eclipse-wildwebdeveloper/wildwebdeveloper,0,197,5903,74,1271,53,107
edabg/fpgate,0,20,10888,9,57,2,128
egdels/makeacopy,0,282,342415,13,409,2,8
eldoriarpg/jackson-bukkit,0,20,1170,2,250,6,36
emilybache/CustomerSync-Refactoring-Kata,0,19,675,27,41,4,88
