treatment_repo,control_repo,ps_treatment,ps_control,distance,smd_stars,smd_size_kb,smd_forks,smd_num_commits,smd_num_contributors,smd_repo_age_months
entur/antu,yuzawa-san/onnxruntime-java,0.182933,0.182215,0.903460,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
caoccao/swc4j,spannm/ucanaccess,0.197641,0.191626,0.544176,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
DataSQRL/flink-sql-runner,MikhailSterkhov/bridgenet,0.184065,0.203069,0.233641,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
slackhq/astra,wildmountainfarms/solarthing,0.155100,0.153235,0.566735,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
apache/gravitino,apache/polaris,0.220059,0.243250,1.665747,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
SimoneAvogadro/HumanDetection4Tasker,qm123pz/NightSky-Client,0.127346,0.125920,0.492445,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
wisemapping/wisemapping-open-source,kroxylicious/kroxylicious,0.260187,0.248215,0.560511,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
akto-api-security/akto,risin42/NagramX,0.344038,0.333608,0.881233,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
knime/knime-python,PANTHEONtech/lighty,0.169743,0.153447,0.571754,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
LianjiaTech/bella-openapi,jonesdevelopment/sonar,0.185612,0.199398,0.701419,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
agoncal/agoncal-application-vintagestore,nikhilmusale70/DSA,0.143260,0.129398,0.708278,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
ArcadeData/arcadedb,MCreator/MCreator,0.257753,0.266682,0.629652,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
PacoVK/tapir,smartboot/smart-mqtt,0.213588,0.205606,0.258816,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
datavane/tis,tensorflow/java,0.147199,0.136144,0.679267,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
Engineering-Research-and-Development/dsp-true-connector,MoonWorm/jsonapi4j,0.126365,0.118809,0.836354,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
xtclang/xvm,jjazzboss/JJazzLab,0.285736,0.306877,0.611234,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
DIGI-UW/OpenELIS-Global-2,dhis2/dhis2-core,0.240953,0.248819,0.759828,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
open-telemetry/opentelemetry-java-instrumentation,micronaut-projects/micronaut-core,0.241384,0.225925,0.668708,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
cygnusx-1-org/Slide,dic1911/Momogram,0.333565,0.320246,1.228007,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
snyk/snyk-eclipse-plugin,Spazzinq/FlightControl,0.127816,0.130934,0.383955,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
zilliztech/vts,LineageOS/android_packages_apps_DocumentsUI,0.266646,0.238113,2.093933,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
kousen/java_8_recipes,maxmind/MaxMind-DB-Reader-java,0.074558,0.081934,1.303143,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
e-gleba/cxx-skeleton,exadel-inc/etoolbox-rollout-manager,0.130959,0.118451,0.875119,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
hackvertor/hackvertor,netfishers-onl/Netshot,0.115199,0.106579,0.639185,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
explore-de/rage4j,dasi0227/Agent,0.132143,0.139365,0.708448,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
msgpack/msgpack-java,jacoco/jacoco,0.082635,0.095093,0.989356,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
yennanliu/CS_basics,swift-lang/swift-t,0.234040,0.220793,0.812916,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
OpenFeign/feign,spockframework/spock,0.094020,0.105122,2.246011,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
portfolio-performance/portfolio,pac4j/pac4j,0.135072,0.133695,0.848322,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
domaframework/doma,omnifaces/omnifaces,0.144832,0.144056,0.411558,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
microsoft/gctoolkit,protomaps/basemaps,0.117065,0.120186,0.687258,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
grafioschtrader/grafioschtrader,powsybl/powsybl-open-rao,0.166073,0.152969,0.612498,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
smithy-lang/smithy-java,onixary/shape-shifter-curse-fabric,0.189881,0.203819,0.430597,-0.0516,-0.1774,-0.0526,-0.1242,0.0844,-0.0731
